ObservationID	Count	SpeciesID
RHOE_01.02_1997_1	1	1820
RHOE_01.02_1997_1	11	1860
RHOE_01.02_1997_1	17	4240
RHOE_01.02_1997_1	2	4290
RHOE_01.02_1998_1	10	90
RHOE_01.02_1998_1	2	720
RHOE_01.02_1998_1	2	1220
RHOE_01.02_1998_1	6	1520
RHOE_01.02_1998_1	12	1730
RHOE_01.02_1998_1	4	1820
RHOE_01.02_1998_1	10	1860
RHOE_01.02_1998_1	115	1980
RHOE_01.02_1998_1	56	2030
RHOE_01.02_1998_1	1	4070
RHOE_01.02_1998_1	33	4240
RHOE_01.02_1998_1	138	4290
RHOE_01.02_1998_1	51	4930
RHOE_01.02_1999_1	25	90
RHOE_01.02_1999_1	42	720
RHOE_01.02_1999_1	12	1220
RHOE_01.02_1999_1	12	1520
RHOE_01.02_1999_1	26	1820
RHOE_01.02_1999_1	6	1860
RHOE_01.02_1999_1	83	1980
RHOE_01.02_1999_1	105	2030
RHOE_01.02_1999_1	3	2200
RHOE_01.02_1999_1	65	4240
RHOE_01.02_1999_1	135	4290
RHOE_01.02_1999_1	4	4930
RHOE_01.02_1999_1	25	5820
RHOE_01.02_1999_1	4	5900
RHOE_01.02_1999_11	10	90
RHOE_01.02_1999_11	3	720
RHOE_01.02_1999_11	2	1790
RHOE_01.02_1999_11	35	1980
RHOE_01.02_1999_11	55	2030
RHOE_01.02_1999_11	1	2130
RHOE_01.02_2000_1	12	70
RHOE_01.02_2000_1	24	90
RHOE_01.02_2000_1	18	720
RHOE_01.02_2000_1	18	1220
RHOE_01.02_2000_1	26	1520
RHOE_01.02_2000_1	88	1790
RHOE_01.02_2000_1	64	1820
RHOE_01.02_2000_1	42	1860
RHOE_01.02_2000_1	44	1940
RHOE_01.02_2000_1	64	1980
RHOE_01.02_2000_1	185	2030
RHOE_01.02_2000_1	129	4240
RHOE_01.02_2000_1	975	4290
RHOE_01.02_2000_1	4	4930
RHOE_01.02_2001_1	7	90
RHOE_01.02_2001_1	2	720
RHOE_01.02_2001_1	3	1220
RHOE_01.02_2001_1	76	1520
RHOE_01.02_2001_1	12	1790
RHOE_01.02_2001_1	91	1820
RHOE_01.02_2001_1	70	1840
RHOE_01.02_2001_1	65	1860
RHOE_01.02_2001_1	1	1890
RHOE_01.02_2001_1	31	1940
RHOE_01.02_2001_1	84	1980
RHOE_01.02_2001_1	127	2030
RHOE_01.02_2001_1	15	4240
RHOE_01.02_2001_1	506	4290
RHOE_01.02_2001_1	12	5190
RHOE_01.02_2001_1	164	5820
RHOE_01.02_2001_1	7	5900
RHOE_01.02_2001_1	2	5920
RHOE_01.02_2001_1	1	20800
RHOE_01.02_2002_1	9	720
RHOE_01.02_2002_1	2	1520
RHOE_01.02_2002_1	2	1610
RHOE_01.02_2002_1	29	1790
RHOE_01.02_2002_1	31	1820
RHOE_01.02_2002_1	1	1840
RHOE_01.02_2002_1	12	1860
RHOE_01.02_2002_1	1	1890
RHOE_01.02_2002_1	37	1940
RHOE_01.02_2002_1	2	2030
RHOE_01.02_2002_1	8	4240
RHOE_01.02_2002_1	430	4290
RHOE_01.02_2002_1	2	4930
RHOE_01.02_2002_1	16	5820
RHOE_01.02_2002_1	6	5900
RHOE_01.02_2002_1	1	5910
RHOE_01.02_2002_1	8	5920
RHOE_01.02_2003_1	1	70
RHOE_01.02_2003_1	4	720
RHOE_01.02_2003_1	7	1220
RHOE_01.02_2003_1	12	1520
RHOE_01.02_2003_1	30	1790
RHOE_01.02_2003_1	5	1820
RHOE_01.02_2003_1	25	1860
RHOE_01.02_2003_1	4	1940
RHOE_01.02_2003_1	225	1980
RHOE_01.02_2003_1	396	2030
RHOE_01.02_2003_1	1	2200
RHOE_01.02_2003_1	270	4290
RHOE_01.02_2003_1	100	5820
RHOE_01.02_2003_1	15	5900
RHOE_01.02_2003_1	3	5920
RHOE_01.02_2004_1	3	90
RHOE_01.02_2004_1	10	720
RHOE_01.02_2004_1	6	1220
RHOE_01.02_2004_1	13	1520
RHOE_01.02_2004_1	50	1730
RHOE_01.02_2004_1	2	1790
RHOE_01.02_2004_1	5	1820
RHOE_01.02_2004_1	3	1840
RHOE_01.02_2004_1	17	1860
RHOE_01.02_2004_1	72	1980
RHOE_01.02_2004_1	1	2020
RHOE_01.02_2004_1	95	2030
RHOE_01.02_2004_1	1	4240
RHOE_01.02_2004_1	124	4290
RHOE_01.02_2004_1	1	5190
RHOE_01.02_2004_1	15	5820
RHOE_01.02_2004_1	3	5900
RHOE_01.02_2004_11	9	70
RHOE_01.02_2004_11	35	90
RHOE_01.02_2004_11	24	720
RHOE_01.02_2004_11	2	1220
RHOE_01.02_2004_11	13	1520
RHOE_01.02_2004_11	4	1790
RHOE_01.02_2004_11	22	1820
RHOE_01.02_2004_11	11	1860
RHOE_01.02_2004_11	21	1940
RHOE_01.02_2004_11	107	1980
RHOE_01.02_2004_11	1	2020
RHOE_01.02_2004_11	87	2030
RHOE_01.02_2004_11	5	4240
RHOE_01.02_2004_11	264	4290
RHOE_01.02_2004_11	203	5820
RHOE_01.02_2004_11	2	5900
RHOE_01.02_2004_11	1	5910
RHOE_01.02_2004_12	3	90
RHOE_01.02_2004_12	3	720
RHOE_01.02_2004_12	1	950
RHOE_01.02_2004_12	1	1220
RHOE_01.02_2004_12	15	1520
RHOE_01.02_2004_12	5	1730
RHOE_01.02_2004_12	74	1820
RHOE_01.02_2004_12	4	1840
RHOE_01.02_2004_12	10	1860
RHOE_01.02_2004_12	2	1940
RHOE_01.02_2004_12	97	1980
RHOE_01.02_2004_12	1	2020
RHOE_01.02_2004_12	88	2030
RHOE_01.02_2004_12	2	2200
RHOE_01.02_2004_12	3	4070
RHOE_01.02_2004_12	6	4240
RHOE_01.02_2004_12	198	4290
RHOE_01.02_2004_12	70	5820
RHOE_01.02_2005_1	5	90
RHOE_01.02_2005_1	5	720
RHOE_01.02_2005_1	4	1220
RHOE_01.02_2005_1	9	1520
RHOE_01.02_2005_1	5	1790
RHOE_01.02_2005_1	43	1820
RHOE_01.02_2005_1	11	1860
RHOE_01.02_2005_1	4	1890
RHOE_01.02_2005_1	16	1940
RHOE_01.02_2005_1	202	1980
RHOE_01.02_2005_1	55	2030
RHOE_01.02_2005_1	1	2200
RHOE_01.02_2005_1	2	4240
RHOE_01.02_2005_1	320	4290
RHOE_01.02_2005_1	89	5820
RHOE_01.02_2005_1	7	5900
RHOE_01.02_2005_11	16	70
RHOE_01.02_2005_11	9	90
RHOE_01.02_2005_11	1	720
RHOE_01.02_2005_11	3	1220
RHOE_01.02_2005_11	14	1520
RHOE_01.02_2005_11	62	1820
RHOE_01.02_2005_11	3	1840
RHOE_01.02_2005_11	24	1860
RHOE_01.02_2005_11	2	1890
RHOE_01.02_2005_11	30	1940
RHOE_01.02_2005_11	27	1980
RHOE_01.02_2005_11	5	2030
RHOE_01.02_2005_11	9	4240
RHOE_01.02_2005_11	288	4290
RHOE_01.02_2005_11	195	5820
RHOE_01.02_2005_11	7	5900
RHOE_01.02_2005_12	1	90
RHOE_01.02_2005_12	1	720
RHOE_01.02_2005_12	2	1220
RHOE_01.02_2005_12	11	1520
RHOE_01.02_2005_12	2	1730
RHOE_01.02_2005_12	70	1820
RHOE_01.02_2005_12	12	1860
RHOE_01.02_2005_12	44	1940
RHOE_01.02_2005_12	86	1980
RHOE_01.02_2005_12	1	2020
RHOE_01.02_2005_12	36	2030
RHOE_01.02_2005_12	2	4240
RHOE_01.02_2005_12	239	4290
RHOE_01.02_2005_12	376	5820
RHOE_01.02_2005_12	36	5900
RHOE_01.02_2005_12	1	5910
RHOE_01.02_2006_1	5	90
RHOE_01.02_2006_1	3	1220
RHOE_01.02_2006_1	6	1520
RHOE_01.02_2006_1	4	1730
RHOE_01.02_2006_1	27	1820
RHOE_01.02_2006_1	1	1840
RHOE_01.02_2006_1	6	1860
RHOE_01.02_2006_1	2	1940
RHOE_01.02_2006_1	67	1980
RHOE_01.02_2006_1	2	2020
RHOE_01.02_2006_1	123	2030
RHOE_01.02_2006_1	2	4240
RHOE_01.02_2006_1	217	4290
RHOE_01.02_2006_1	67	5820
RHOE_01.02_2006_1	17	5900
RHOE_01.02_2006_11	10	70
RHOE_01.02_2006_11	20	90
RHOE_01.02_2006_11	24	720
RHOE_01.02_2006_11	10	1220
RHOE_01.02_2006_11	18	1520
RHOE_01.02_2006_11	1	1610
RHOE_01.02_2006_11	43	1820
RHOE_01.02_2006_11	13	1860
RHOE_01.02_2006_11	5	1890
RHOE_01.02_2006_11	17	1940
RHOE_01.02_2006_11	70	1980
RHOE_01.02_2006_11	52	2030
RHOE_01.02_2006_11	7	4240
RHOE_01.02_2006_11	150	4290
RHOE_01.02_2006_11	67	5820
RHOE_01.02_2006_11	1	5910
RHOE_01.02_2006_12	2	70
RHOE_01.02_2006_12	21	90
RHOE_01.02_2006_12	16	720
RHOE_01.02_2006_12	3	1220
RHOE_01.02_2006_12	12	1520
RHOE_01.02_2006_12	33	1860
RHOE_01.02_2006_12	2	1940
RHOE_01.02_2006_12	16	1980
RHOE_01.02_2006_12	140	2030
RHOE_01.02_2006_12	1	4070
RHOE_01.02_2006_12	5	4240
RHOE_01.02_2006_12	124	4290
RHOE_01.02_2006_12	250	4930
RHOE_01.02_2006_12	8	5190
RHOE_01.02_2006_12	6	5820
RHOE_01.02_2006_12	1	5900
RHOE_01.02_2006_2	1	70
RHOE_01.02_2006_2	7	90
RHOE_01.02_2006_2	2	720
RHOE_01.02_2006_2	20	1220
RHOE_01.02_2006_2	3	1520
RHOE_01.02_2006_2	3	1730
RHOE_01.02_2006_2	70	1790
RHOE_01.02_2006_2	31	1820
RHOE_01.02_2006_2	7	1860
RHOE_01.02_2006_2	218	1980
RHOE_01.02_2006_2	65	2030
RHOE_01.02_2006_2	159	4290
RHOE_01.02_2006_2	30	5820
RHOE_01.02_2006_2	3	5900
RHOE_01.02_2007_1	1	70
RHOE_01.02_2007_1	8	90
RHOE_01.02_2007_1	1	1220
RHOE_01.02_2007_1	8	1520
RHOE_01.02_2007_1	1	1730
RHOE_01.02_2007_1	1	1840
RHOE_01.02_2007_1	28	1860
RHOE_01.02_2007_1	15	1980
RHOE_01.02_2007_1	88	2030
RHOE_01.02_2007_1	5	4240
RHOE_01.02_2007_1	144	4290
RHOE_01.02_2007_1	40	4930
RHOE_01.02_2007_1	13	5820
RHOE_01.02_2007_1	4	5900
RHOE_01.02_2007_11	15	70
RHOE_01.02_2007_11	22	90
RHOE_01.02_2007_11	6	720
RHOE_01.02_2007_11	5	1220
RHOE_01.02_2007_11	3	1520
RHOE_01.02_2007_11	18	1610
RHOE_01.02_2007_11	4	1660
RHOE_01.02_2007_11	2	1840
RHOE_01.02_2007_11	17	1860
RHOE_01.02_2007_11	15	1980
RHOE_01.02_2007_11	117	2030
RHOE_01.02_2007_11	7	4240
RHOE_01.02_2007_11	302	4290
RHOE_01.02_2007_11	2	4930
RHOE_01.02_2007_11	1	5190
RHOE_01.02_2007_11	178	5820
RHOE_01.02_2007_11	10	5900
RHOE_01.02_2007_12	8	70
RHOE_01.02_2007_12	21	90
RHOE_01.02_2007_12	2	720
RHOE_01.02_2007_12	7	1220
RHOE_01.02_2007_12	9	1520
RHOE_01.02_2007_12	6	1820
RHOE_01.02_2007_12	6	1840
RHOE_01.02_2007_12	45	1860
RHOE_01.02_2007_12	60	1980
RHOE_01.02_2007_12	121	2030
RHOE_01.02_2007_12	8	4240
RHOE_01.02_2007_12	295	4290
RHOE_01.02_2007_12	20	4930
RHOE_01.02_2007_12	6	5820
RHOE_01.02_2007_12	4	5900
RHOE_01.02_2007_12	8	5920
RHOE_01.02_2007_2	10	70
RHOE_01.02_2007_2	5	90
RHOE_01.02_2007_2	43	1220
RHOE_01.02_2007_2	5	1520
RHOE_01.02_2007_2	10	1730
RHOE_01.02_2007_2	9	1820
RHOE_01.02_2007_2	9	1860
RHOE_01.02_2007_2	7	1890
RHOE_01.02_2007_2	7	1940
RHOE_01.02_2007_2	57	1980
RHOE_01.02_2007_2	93	2030
RHOE_01.02_2007_2	7	4240
RHOE_01.02_2007_2	144	4290
RHOE_01.02_2007_2	3	5820
RHOE_01.02_2007_2	7	5900
RHOE_01.02_2008_1	1	70
RHOE_01.02_2008_1	3	90
RHOE_01.02_2008_1	25	720
RHOE_01.02_2008_1	1	950
RHOE_01.02_2008_1	14	1220
RHOE_01.02_2008_1	7	1520
RHOE_01.02_2008_1	4	1610
RHOE_01.02_2008_1	33	1820
RHOE_01.02_2008_1	6	1840
RHOE_01.02_2008_1	34	1860
RHOE_01.02_2008_1	78	1940
RHOE_01.02_2008_1	197	1980
RHOE_01.02_2008_1	100	2030
RHOE_01.02_2008_1	4	4070
RHOE_01.02_2008_1	13	4240
RHOE_01.02_2008_1	388	4290
RHOE_01.02_2008_1	8	4930
RHOE_01.02_2008_1	49	5820
RHOE_01.02_2008_1	9	5900
RHOE_01.02_2008_1	3	5910
RHOE_01.02_2008_1	2	5920
RHOE_01.02_2008_11	6	70
RHOE_01.02_2008_11	4	90
RHOE_01.02_2008_11	30	720
RHOE_01.02_2008_11	4	1220
RHOE_01.02_2008_11	12	1520
RHOE_01.02_2008_11	21	1790
RHOE_01.02_2008_11	17	1820
RHOE_01.02_2008_11	16	1860
RHOE_01.02_2008_11	8	1940
RHOE_01.02_2008_11	NA	1980
RHOE_01.02_2008_11	1	2020
RHOE_01.02_2008_11	132	2030
RHOE_01.02_2008_11	15	2040
RHOE_01.02_2008_11	3	4240
RHOE_01.02_2008_11	510	4290
RHOE_01.02_2008_11	209	4930
RHOE_01.02_2008_11	19	5190
RHOE_01.02_2008_11	119	5820
RHOE_01.02_2008_11	4	5900
RHOE_01.02_2008_12	3	70
RHOE_01.02_2008_12	3	90
RHOE_01.02_2008_12	34	720
RHOE_01.02_2008_12	9	1220
RHOE_01.02_2008_12	20	1520
RHOE_01.02_2008_12	16	1730
RHOE_01.02_2008_12	24	1790
RHOE_01.02_2008_12	28	1820
RHOE_01.02_2008_12	2	1840
RHOE_01.02_2008_12	36	1860
RHOE_01.02_2008_12	68	1940
RHOE_01.02_2008_12	38	1980
RHOE_01.02_2008_12	157	2030
RHOE_01.02_2008_12	2	4070
RHOE_01.02_2008_12	12	4240
RHOE_01.02_2008_12	537	4290
RHOE_01.02_2008_12	526	4930
RHOE_01.02_2008_12	1	5530
RHOE_01.02_2008_12	104	5820
RHOE_01.02_2008_12	46	5900
RHOE_01.02_2008_12	1	5910
RHOE_01.02_2008_12	1	5920
RHOE_01.02_2008_2	4	720
RHOE_01.02_2008_2	4	1220
RHOE_01.02_2008_2	4	1520
RHOE_01.02_2008_2	5	1840
RHOE_01.02_2008_2	35	1860
RHOE_01.02_2008_2	20	1980
RHOE_01.02_2008_2	15	2030
RHOE_01.02_2008_2	30	4240
RHOE_01.02_2008_2	30	4290
RHOE_01.02_2008_2	40	5820
RHOE_01.02_2009_1	1	1520
RHOE_01.02_2009_1	11	1820
RHOE_01.02_2009_1	1	1940
RHOE_01.02_2009_1	5	4240
RHOE_01.02_2009_1	206	4290
RHOE_01.02_2009_1	3	5820
RHOE_01.02_2009_2	8	90
RHOE_01.02_2009_2	1	1220
RHOE_01.02_2009_2	79	1520
RHOE_01.02_2009_2	5	1660
RHOE_01.02_2009_2	5	1790
RHOE_01.02_2009_2	19	1820
RHOE_01.02_2009_2	37	1860
RHOE_01.02_2009_2	2	1940
RHOE_01.02_2009_2	150	1980
RHOE_01.02_2009_2	117	2030
RHOE_01.02_2009_2	1	4240
RHOE_01.02_2009_2	233	4290
RHOE_01.02_2009_2	7	5410
RHOE_01.02_2009_2	56	5820
RHOE_01.02_2009_2	6	5900
RHOE_01.02_2010_1	1	70
RHOE_01.02_2010_1	12	720
RHOE_01.02_2010_1	4	1220
RHOE_01.02_2010_1	1	1790
RHOE_01.02_2010_1	2	1820
RHOE_01.02_2010_1	1	1840
RHOE_01.02_2010_1	122	1860
RHOE_01.02_2010_1	1	4070
RHOE_01.02_2010_1	14	4240
RHOE_01.02_2010_1	176	4290
RHOE_01.02_2010_1	59	5820
RHOE_01.02_2010_1	21	5900
RHOE_01.02_2010_11	14	70
RHOE_01.02_2010_11	22	90
RHOE_01.02_2010_11	31	720
RHOE_01.02_2010_11	2	1220
RHOE_01.02_2010_11	2	1520
RHOE_01.02_2010_11	8	1820
RHOE_01.02_2010_11	34	1860
RHOE_01.02_2010_11	5	1940
RHOE_01.02_2010_11	22	1980
RHOE_01.02_2010_11	136	2030
RHOE_01.02_2010_11	1	2230
RHOE_01.02_2010_11	12	4240
RHOE_01.02_2010_11	679	4290
RHOE_01.02_2010_11	56	5820
RHOE_01.02_2010_11	8	5900
RHOE_01.02_2010_11	1	5920
RHOE_01.02_2010_12	2	1220
RHOE_01.02_2010_12	2	1520
RHOE_01.02_2010_12	30	1860
RHOE_01.02_2010_12	1	4070
RHOE_01.02_2010_12	8	4240
RHOE_01.02_2010_12	160	4290
RHOE_01.02_2010_12	12	5820
RHOE_01.02_2010_12	7	5900
RHOE_01.02_2011_1	1	70
RHOE_01.02_2011_1	6	90
RHOE_01.02_2011_1	57	720
RHOE_01.02_2011_1	17	1220
RHOE_01.02_2011_1	8	1520
RHOE_01.02_2011_1	2	1660
RHOE_01.02_2011_1	5	1790
RHOE_01.02_2011_1	19	1820
RHOE_01.02_2011_1	2	1840
RHOE_01.02_2011_1	75	1860
RHOE_01.02_2011_1	307	1980
RHOE_01.02_2011_1	346	2030
RHOE_01.02_2011_1	3	2200
RHOE_01.02_2011_1	5	4240
RHOE_01.02_2011_1	358	4290
RHOE_01.02_2011_1	30	4930
RHOE_01.02_2011_1	113	5820
RHOE_01.02_2011_1	40	5900
RHOE_01.02_2011_1	2	5920
RHOE_01.02_2011_11	8	70
RHOE_01.02_2011_11	8	90
RHOE_01.02_2011_11	21	720
RHOE_01.02_2011_11	2	950
RHOE_01.02_2011_11	4	1220
RHOE_01.02_2011_11	5	1520
RHOE_01.02_2011_11	2	1610
RHOE_01.02_2011_11	2	1660
RHOE_01.02_2011_11	3	1730
RHOE_01.02_2011_11	20	1860
RHOE_01.02_2011_11	27	1940
RHOE_01.02_2011_11	12	1980
RHOE_01.02_2011_11	85	2030
RHOE_01.02_2011_11	1	4070
RHOE_01.02_2011_11	6	4240
RHOE_01.02_2011_11	468	4290
RHOE_01.02_2011_11	72	4930
RHOE_01.02_2011_11	185	5820
RHOE_01.02_2011_11	9	5900
RHOE_01.02_2011_11	1	5926
RHOE_01.02_2011_12	1	70
RHOE_01.02_2011_12	16	90
RHOE_01.02_2011_12	18	720
RHOE_01.02_2011_12	4	950
RHOE_01.02_2011_12	13	1220
RHOE_01.02_2011_12	8	1520
RHOE_01.02_2011_12	2	1660
RHOE_01.02_2011_12	51	1820
RHOE_01.02_2011_12	13	1860
RHOE_01.02_2011_12	19	1980
RHOE_01.02_2011_12	170	2030
RHOE_01.02_2011_12	1	4070
RHOE_01.02_2011_12	10	4240
RHOE_01.02_2011_12	465	4290
RHOE_01.02_2011_12	400	4930
RHOE_01.02_2011_12	17	5820
RHOE_01.02_2011_2	3	70
RHOE_01.02_2011_2	6	90
RHOE_01.02_2011_2	3	120
RHOE_01.02_2011_2	14	720
RHOE_01.02_2011_2	20	1220
RHOE_01.02_2011_2	2	1520
RHOE_01.02_2011_2	4	1820
RHOE_01.02_2011_2	1	1840
RHOE_01.02_2011_2	40	1860
RHOE_01.02_2011_2	2	1940
RHOE_01.02_2011_2	25	1980
RHOE_01.02_2011_2	173	2030
RHOE_01.02_2011_2	4	4240
RHOE_01.02_2011_2	184	4290
RHOE_01.02_2011_2	289	4930
RHOE_01.02_2011_2	94	5820
RHOE_01.02_2011_2	36	5900
RHOE_01.02_2012_1	6	70
RHOE_01.02_2012_1	8	90
RHOE_01.02_2012_1	14	720
RHOE_01.02_2012_1	13	1220
RHOE_01.02_2012_1	20	1520
RHOE_01.02_2012_1	2	1610
RHOE_01.02_2012_1	2	1660
RHOE_01.02_2012_1	2	1790
RHOE_01.02_2012_1	6	1820
RHOE_01.02_2012_1	2	1840
RHOE_01.02_2012_1	8	1860
RHOE_01.02_2012_1	32	1940
RHOE_01.02_2012_1	94	1980
RHOE_01.02_2012_1	175	2030
RHOE_01.02_2012_1	1	2200
RHOE_01.02_2012_1	1	4240
RHOE_01.02_2012_1	135	4290
RHOE_01.02_2012_1	43	5820
RHOE_01.02_2012_1	4	5900
RHOE_01.02_2012_1	3	5920
RHOE_01.02_2012_11	3	70
RHOE_01.02_2012_11	24	90
RHOE_01.02_2012_11	4	720
RHOE_01.02_2012_11	9	720
RHOE_01.02_2012_11	3	1220
RHOE_01.02_2012_11	7	1520
RHOE_01.02_2012_11	16	1860
RHOE_01.02_2012_11	5	1860
RHOE_01.02_2012_11	128	2030
RHOE_01.02_2012_11	485	4290
RHOE_01.02_2012_11	15	4290
RHOE_01.02_2012_11	311	5820
RHOE_01.02_2012_12	5	70
RHOE_01.02_2012_12	4	90
RHOE_01.02_2012_12	2	90
RHOE_01.02_2012_12	7	720
RHOE_01.02_2012_12	1	950
RHOE_01.02_2012_12	3	1220
RHOE_01.02_2012_12	5	1520
RHOE_01.02_2012_12	5	1660
RHOE_01.02_2012_12	5	1790
RHOE_01.02_2012_12	2	1790
RHOE_01.02_2012_12	18	1820
RHOE_01.02_2012_12	20	1860
RHOE_01.02_2012_12	9	1940
RHOE_01.02_2012_12	107	1980
RHOE_01.02_2012_12	173	2030
RHOE_01.02_2012_12	1	4070
RHOE_01.02_2012_12	5	4240
RHOE_01.02_2012_12	375	4290
RHOE_01.02_2012_12	10	4290
RHOE_01.02_2012_12	10	4290
RHOE_01.02_2012_12	104	4930
RHOE_01.02_2012_12	572	5820
RHOE_01.02_2012_12	86	5900
RHOE_01.02_2012_12	2	5920
RHOE_01.02_2012_2	1	90
RHOE_01.02_2012_2	223	720
RHOE_01.02_2012_2	8	1220
RHOE_01.02_2012_2	9	1520
RHOE_01.02_2012_2	2	1610
RHOE_01.02_2012_2	2	1660
RHOE_01.02_2012_2	5	1820
RHOE_01.02_2012_2	9	1840
RHOE_01.02_2012_2	20	1860
RHOE_01.02_2012_2	2	1890
RHOE_01.02_2012_2	10	1940
RHOE_01.02_2012_2	77	1980
RHOE_01.02_2012_2	200	2030
RHOE_01.02_2012_2	3	2200
RHOE_01.02_2012_2	1	4240
RHOE_01.02_2012_2	221	4290
RHOE_01.02_2012_2	4	4930
RHOE_01.02_2012_2	23	5820
RHOE_01.02_2012_2	2	5900
RHOE_01.02_2012_2	1	5920
RHOE_01.02_2013_1	3	70
RHOE_01.02_2013_1	5	90
RHOE_01.02_2013_1	6	720
RHOE_01.02_2013_1	5	1220
RHOE_01.02_2013_1	5	1520
RHOE_01.02_2013_1	4	1790
RHOE_01.02_2013_1	15	1820
RHOE_01.02_2013_1	15	1820
RHOE_01.02_2013_1	32	1860
RHOE_01.02_2013_1	18	1940
RHOE_01.02_2013_1	17	1980
RHOE_01.02_2013_1	123	2030
RHOE_01.02_2013_1	1	4070
RHOE_01.02_2013_1	2	4240
RHOE_01.02_2013_1	5	4290
RHOE_01.02_2013_1	334	4290
RHOE_01.02_2013_1	2	5190
RHOE_01.02_2013_1	30	5820
RHOE_01.02_2013_1	8	5900
RHOE_01.02_2013_12	3	70
RHOE_01.02_2013_12	30	90
RHOE_01.02_2013_12	9	1220
RHOE_01.02_2013_12	45	1520
RHOE_01.02_2013_12	18	1660
RHOE_01.02_2013_12	3	1790
RHOE_01.02_2013_12	105	1820
RHOE_01.02_2013_12	3	1840
RHOE_01.02_2013_12	102	1860
RHOE_01.02_2013_12	24	1940
RHOE_01.02_2013_12	165	1980
RHOE_01.02_2013_12	474	2030
RHOE_01.02_2013_12	3	4070
RHOE_01.02_2013_12	15	4240
RHOE_01.02_2013_12	2620	4290
RHOE_01.02_2013_12	148	5820
RHOE_01.02_2013_12	38	5900
RHOE_01.02_2013_12	4	5920
RHOE_01.02_2013_2	4	70
RHOE_01.02_2013_2	4	90
RHOE_01.02_2013_2	1	720
RHOE_01.02_2013_2	3	1220
RHOE_01.02_2013_2	8	1520
RHOE_01.02_2013_2	8	1660
